tot,1,2,4,0,0,10,5
sub,1,1.5,5,0,2,11,4
ri,1,1,3,1,1,12,3
git,1,1,3,2,0,13,2
au,2,1,9,0,1,14,1
ris,1,1,3,1,0,15,0
noc,1,2,4,0,1,0,14
te,1,1,2,1,0,1,13
vo,1,1,4,0,1,2,12
lat,1,2,1,1,0,3,11
cae,2,1,7,0,1,4,10
li,1,1,3,1,0,5,9
me,1,1,2,0,2,6,8
di,1,0,3,1,1,7,7
o,1,1,4,2,0,8,6
ter,1,2,2,0,2,9,5
rae,2,1,7,1,1,10,4
que,1,1,2,2,0,11,3
per,1,1,2,0,0,12,2
umb,1,2.5,5,0,1,13,1
ram,1,1,1,1,0,14,0
stri,1,1,3,0,1,0,12
dens,1,3,2,1,0,1,11
nec,1,2,2,0,0,2,10
dul,1,2,5,0,1,3,9
ci,1,1,3,1,0,4,8
dec,1,1.5,2,0,2,5,7
li,1,1,3,1,1,6,6
nat,1,1.5,1,2,0,7,5
lu,1,1,5,0,2,8,4
mi,1,1,3,1,1,9,3
na,1,1,1,2,0,10,2
som,1,2,4,0,1,11,1
no,1,0,4,1,0,12,0
lu,1,1,5,0,1,0,13
ce,1,1,2,1,0,1,12
se,1,1,2,0,1,2,11
det,1,2,2,1,0,3,10
cus,1,2,5,0,1,4,9
tos,1,1,4,1,0,5,8
aut,2,2,9,0,0,6,7
sum,1,2,5,0,1,7,6
mi,1,1,3,1,0,8,5
cul,1,2,5,0,2,9,4
mi,1,1,3,1,1,10,3
ne,1,1,2,2,0,11,2
tec,1,2,2,0,1,12,1
ti,1,0,3,1,0,13,0
tur,1,2,5,0,2,0,13
ri,1,1,3,1,1,1,12
bus,1,1,5,2,0,2,11
aut,2,1,9,0,0,3,10
al,1,2,1,0,1,4,9
tis,1,1,3,1,0,5,8
et,1,2,2,0,0,6,7
mag,1,2,1,0,1,7,6
nas,1,2,1,1,0,8,5
ter,1,2,2,0,2,9,4
ri,1,1,3,1,1,10,3
tat,1,1,1,2,0,11,2
ur,1,2,5,0,1,12,1
bes,1,1,2,1,0,13,0
tam,1,2,1,0,0,0,13
fic,1,2,3,0,1,1,12
ti,1,1.5,3,1,0,2,11
pra,1,1,1,0,2,3,10
vi,1,1,3,1,1,4,9
que,1,1,2,2,0,5,8
te,1,1,2,0,1,6,7
nax,1,3,1,1,0,7,6
quam,1,2,1,0,0,8,5
nun,1,2,5,0,2,9,4
ti,1,0,3,1,1,10,3
a,1,1,1,2,0,11,2
ve,1,1,2,0,1,12,1
ri,1,0,3,1,0,13,0
haec,2,2,7,0,0,0,14
tum,1,2,5,0,0,1,13
mul,1,2,5,0,3,2,12
tip,1,1.5,3,1,2,3,11
li,1,1,3,2,1,4,10
ci,1,1,3,3,0,5,9
po,1,1,4,0,2,6,8
pu,1,1,5,1,1,7,7
los,1,2,4,2,0,8,6
ser,1,2,2,0,2,9,5
mo,1,1,4,1,1,10,4
ne,1,1,2,2,0,11,3
rep,1,1.5,2,0,2,12,2
le,1,1,2,1,1,13,1
bat,1,1,1,2,0,14,0
gau,2,1,9,0,1,0,15
dens,1,2,2,1,0,1,14
et,1,2,2,0,0,2,13
pa,1,1,1,0,2,3,12
ri,1,1,3,1,1,4,11
ter,1,2,2,2,0,5,10
fac,1,2,1,0,1,6,9
ta,0,0,1,1,0,7,8
at,1,2,1,0,1,8,7
que,0,0,2,1,0,9,6
in,1,2,3,0,2,10,5
fec,1,2,2,1,1,11,4
ta,1,1,1,2,0,12,3
ca,1,1,1,0,2,13,2
ne,1,1,2,1,1,14,1
